age,semester,favorite_subject,programming_skill,career_interest,skills_text,target_career,career_demand,technical_score,communication_score,problem_solving_score,creativity_score,leadership_score
25,Graduate,Engineering,Advanced,DevOps Engineer,"Creativity, Cloud Security, Monitoring, Linux Bash, Infrastructure as Code, Problem Solving",DevOps Engineer,High Demand,92,67,86,60,69
27,8th Semester,Engineering,Intermediate,Mobile App Developer,"REST APIs, Kotlin, Mobile Architecture, Problem Solving, UI/UX, Swift",Mobile App Developer,Trending,93,72,84,76,60
28,7th Semester,Commerce,Intermediate,Entrepreneur,"Leadership, Time Management, Resilience, Risk Management",Entrepreneur,Emerging,76,98,88,88,86
21,8th Semester,Psychology,Intermediate,Lawyer,"Critical Thinking, Contract Drafting, Public Speaking, Constitutional Law, Legal Research, Teamwork, Problem Solving, Argumentation",Lawyer,Stable,81,93,92,79,77
28,7th Semester,Engineering,Advanced,DevOps Engineer,"Python, Creativity, Cloud Security, GitLab CI, Linux Bash, Infrastructure as Code, Kubernetes",DevOps Engineer,High Demand,99,69,82,57,58
24,8th Semester,Engineering,Intermediate,Biomedical Engineer,"Python, Materials Science, Signal Processing, Biology, Prosthetics, Biomechanics, Problem Solving",Biomedical Engineer,Trending,92,74,87,81,64
18,1st Semester,Computer Science,Intermediate,Business Analyst,"SQL, Tableau, Process Mapping, Data Analytics, Requirements Gathering",Business Analyst,High Demand,87,86,80,64,87
25,7th Semester,Engineering,Beginner,Mechanical Engineer,"Fluid Mechanics, Thermodynamics, Adaptability, Robotics, Problem Solving, SolidWorks",Mechanical Engineer,Stable,90,65,88,66,63
19,4th Semester,Engineering,Beginner,Aerospace Engineer,"CAD Modeling, Flight Simulation, Avionics, Propulsion Systems, Structural Analysis",Aerospace Engineer,Emerging,95,67,99,80,62
22,6th Semester,Computer Science,Advanced,Full-Stack Developer,"Python, Git, SQL, HTML/CSS, Express, Node.js",Full-Stack Developer,High Demand,91,63,84,72,69
20,4th Semester,Engineering,Intermediate,Cybersecurity Analyst,"Linux, Incident Response, Time Management, Adaptability, Network Security",Cybersecurity Analyst,High Demand,95,63,80,63,45
23,7th Semester,Biology,Intermediate,Pharmacist,"Patient Counseling, Attention to Detail, Dosage Calculation, Drug Interactions, Pharmacology, Adaptability, Quality Control",Pharmacist,Stable,88,67,82,53,68
18,1st Semester,Psychology,None,UI/UX Designer,"Prototyping, Design Systems, User Research, Problem Solving, Figma, Interaction Design",UI/UX Designer,High Demand,66,79,81,91,79
28,7th Semester,Animation,None,Animator,"Storyboarding, Texturing, 3D Modeling, After Effects",Animator,Emerging,76,67,86,99,68
18,1st Semester,Animation,Beginner,Animator,"Texturing, 3D Modeling, Blender, Storyboarding, After Effects",Animator,Emerging,84,70,82,91,59
18,10th,Computer Science,Intermediate,Civil Engineer,"Android Studio, Git, REST APIs, Mobile Architecture, UI/UX",Mobile App Developer,Trending,91,63,79,73,66
27,7th Semester,Engineering,Expert,DevOps Engineer,"Python, Cloud Security, GitLab CI, Docker, Linux Bash, Infrastructure as Code, Problem Solving",DevOps Engineer,High Demand,99,59,89,58,58
17,1st Semester,Engineering,Intermediate,Full-Stack Developer,"React, HTML/CSS, REST APIs",Full-Stack Developer,High Demand,96,64,90,74,61
23,8th Semester,Hospitality,None,Chef,"Creativity, Sensory Evaluation, Time Management, Menu Engineering",Chef,Trending,68,64,78,87,80
24,8th Semester,Computer Science,Intermediate,Business Analyst,"React, SQL, MongoDB, Teamwork, HTML/CSS, Express, Problem Solving",Full-Stack Developer,High Demand,95,70,82,67,61
20,Diploma,Data Science,Advanced,Data Scientist,"Pandas, SQL, Tableau, Time Management, Creativity",Data Scientist,High Demand,95,82,89,70,69
24,7th Semester,Computer Science,None,Entrepreneur,"Leadership, Teamwork, Growth Strategy, Pitching & Fundraising, Resilience",Entrepreneur,Emerging,67,91,83,87,94
19,3rd Semester,Business Studies,Beginner,Product Designer,"Figma, Iterative Design, Critical Thinking, Prototyping",Product Designer,High Demand,76,88,92,90,67
23,7th Semester,Computer Science,Intermediate,Mechanical Engineer,"Android Studio, Git, React Native, Flutter, UI/UX",Mobile App Developer,Trending,82,63,81,83,61
23,7th Semester,Mathematics,Intermediate,Software Developer,"Python, Adaptability, REST APIs, Creativity, C++, Object-Oriented Programming",Software Developer,High Demand,94,70,86,62,61
26,Postgraduate,Computer Science,Advanced,Robotics Engineer,"Python, ROS, Time Management, Teamwork, C++, Kinematics",Robotics Engineer,High Demand,99,67,93,76,69
22,Diploma,Biology,None,Teacher,"Lesson Planning, Communication, Student Evaluation, Creativity, Classroom Management, Empathy",Teacher,Stable,72,99,77,78,87
20,Diploma,Psychology,None,Lawyer,"Negotiation, Public Speaking, Time Management, Constitutional Law, Adaptability, Courtroom Advocacy",Lawyer,Stable,68,96,85,75,88
24,7th Semester,Engineering,Intermediate,DevOps Engineer,"Linux Bash, Jenkins, Monitoring, Kubernetes",DevOps Engineer,High Demand,96,70,82,61,74
24,Postgraduate,Mathematics,None,Financial Analyst,"Financial Statement Analysis, Ratio Analysis, Forecasting, Excel, Python for Finance, PowerBI",Financial Analyst,Trending,82,77,87,54,64
17,10th,Commerce,None,Digital Marketer,"Content Strategy, SEO, Google Analytics",Digital Marketer,High Demand,67,87,77,91,78
20,Diploma,Computer Science,Intermediate,Mobile App Developer,"Android Studio, REST APIs, Problem Solving, Flutter, Swift",Mobile App Developer,Trending,97,66,81,92,65
25,Postgraduate,Computer Science,Advanced,Research Scientist,"Neural Networks, Linear Algebra, Time Management, Algorithms, TensorFlow, Deep Learning, PyTorch",AI Engineer,High Demand,99,71,97,81,65
28,8th Semester,Engineering,Beginner,Biomedical Engineer,"Materials Science, Python, Creativity, CAD Design, Biomechanics, Prosthetics, Problem Solving",Biomedical Engineer,Trending,95,66,82,76,73
27,7th Semester,Engineering,Advanced,Cloud Engineer,"Networking, Critical Thinking, Time Management, Azure, System Architecture, Docker, CI/CD",Cloud Engineer,High Demand,99,60,87,63,52
21,Diploma,Chemistry,None,Doctor,"Medical Ethics, Anatomy, Critical Thinking, Emergency Response",Doctor,High Demand,86,85,91,47,77
27,Graduate,Medical Science,Beginner,Dentist,"Dental Anatomy, Empathy, Patient Communication",Dentist,Stable,81,81,82,71,74
24,Graduate,Biology,Beginner,Dentist,"Time Management, Manual Dexterity, Oral Surgery, Patient Communication, Dental Anatomy, Problem Solving, Empathy",Dentist,Stable,86,78,90,71,70
28,7th Semester,Engineering,Advanced,Mobile App Developer,"Android Studio, Git, React Native, Problem Solving, Flutter, Swift",Mobile App Developer,Trending,97,65,84,93,63
22,5th Semester,Computer Science,Beginner,Business Analyst,"Process Mapping, Agile/Scrum, Stakeholder Management, Data Analytics, Requirements Gathering",Business Analyst,High Demand,84,88,89,68,70
27,8th Semester,Chemistry,None,Pharmacist,"Patient Counseling, Communication, Dosage Calculation, Drug Interactions, Pharmacology, Problem Solving",Pharmacist,Stable,79,77,74,57,69
25,Postgraduate,Biology,Beginner,Chef,"Critical Thinking, Pharmacology, Medical Ethics, Emergency Response, Empathy",Doctor,High Demand,84,86,95,58,76
21,2nd Semester,Animation,Intermediate,Animator,"Storyboarding, Texturing, Critical Thinking, Blender",Animator,Emerging,87,59,81,94,57
23,Graduate,Design,None,UI/UX Designer,"Critical Thinking, Design Thinking, Usability Testing, Design Systems, Teamwork, Figma",UI/UX Designer,High Demand,72,81,72,93,71
24,Postgraduate,Business Studies,None,Digital Marketer,"Content Strategy, Social Media Marketing, SEM, PPC Advertising, SEO, Google Analytics",Digital Marketer,High Demand,67,91,75,82,73
25,8th Semester,Mathematics,Intermediate,Research Scientist,"Hypothesis Testing, Laboratory Techniques, Data Analysis, Statistics, Creativity",Research Scientist,Stable,95,72,93,71,64
20,3rd Semester,Education,Beginner,UI/UX Designer,"Time Management, Fact Checking, Video Journalism, Investigative Reporting, Media Ethics",Journalist,Stable,71,99,86,79,74
